"Lote","Item","Posição","Razão Social","Documento","Lance","Marca","Modelo","ME","Classificado","Habilitado"
"2","6","2","EDUARDO J. SANTOS & CIA LTDA","66143678000131","29550,0000","CIRANDA CULTURAL","ANIMAIS DE ESTIMAÇÃO","SIM","SIM","SIM"
"2","6","3","UNILER DIGITAL LTDA","46586795000162","32565,4600","Ciranda Cultural","Ciranda Cultural","SIM","SIM","SIM"
"2","7","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","27864,0000","CIRANDA CULTURAL","IMPRESSO/ FISICO","SIM","SIM","SIM"
"2","7","2","EDUARDO J. SANTOS & CIA LTDA","66143678000131","29550,0000","CIRANDA CULTURAL","cCONTRASTE DIVERTIDO","SIM","SIM","SIM"
"2","7","3","UNILER DIGITAL LTDA","46586795000162","32565,4600","Ciranda Cultural","Ciranda Cultural","SIM","SIM","SIM"
"2","8","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","27864,0000","CIRANDA CULTURAL","IMPRESSO/ FISICO","SIM","SIM","SIM"
"2","8","2","EDUARDO J. SANTOS & CIA LTDA","66143678000131","29550,0000","CIRANDA CULTURAL","CONTRASTE DIVERTIDO","SIM","SIM","SIM"
"2","8","3","UNILER DIGITAL LTDA","46586795000162","32565,4600","Ciranda Cultural","Ciranda Cultural","SIM","SIM","SIM"
"2","9","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","27864,0000","CIRANDA CULTURAL","IMPRESSO/ FISICO","SIM","SIM","SIM"
"2","9","2","EDUARDO J. SANTOS & CIA LTDA","66143678000131","29550,0000","CIRANDA CULTURAL","CONTRASTE DIVERTIDO","SIM","SIM","SIM"
"2","9","3","UNILER DIGITAL LTDA","46586795000162","32565,4600","Ciranda Cultural","Ciranda Cultural","SIM","SIM","SIM"
"2","10","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","27864,0000","CIRANDA CULTURAL","IMPRESSO/ FISICO","SIM","SIM","SIM"
"2","10","2","EDUARDO J. SANTOS & CIA LTDA","66143678000131","29550,0000","CIRANDA CULTURAL","EU AMO CACHORRINHOS","SIM","SIM","SIM"
"2","10","3","UNILER DIGITAL LTDA","46586795000162","32565,4600","Ciranda Cultural","Ciranda Cultural","SIM","SIM","SIM"
"2","11","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","27864,0000","CIRANDA CULTURAL","IMPRESSO/ FISICO","SIM","SIM","SIM"
"2","11","2","EDUARDO J. SANTOS & CIA LTDA","66143678000131","29550,0000","CIRANDA CULTURAL","HORA DE BRINCAR – LEÃOZINHO","SIM","SIM","SIM"
"2","11","3","UNILER DIGITAL LTDA","46586795000162","32565,4600","Ciranda Cultural","Ciranda Cultural","SIM","SIM","SIM"
"2","12","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","27864,0000","CIRANDA CULTURAL","IMPRESSO/ FISICO","SIM","SIM","SIM"
"2","12","2","EDUARDO J. SANTOS & CIA LTDA","66143678000131","29550,0000","CIRANDA CULTURAL","HORA DE CANTAR – MACAQUINHO","SIM","SIM","SIM"
"2","12","3","UNILER DIGITAL LTDA","46586795000162","32565,4600","Ciranda Cultural","Ciranda Cultural","SIM","SIM","SIM"
"2","13","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","27864,0000","CIRANDA CULTURAL","IMPRESSO/ FISICO","SIM","SIM","SIM"
"2","13","2","EDUARDO J. SANTOS & CIA LTDA","66143678000131","29550,0000","CIRANDA CULTURAL30,00","HORA DE COMER – COELHINHO","SIM","SIM","SIM"
"2","13","3","UNILER DIGITAL LTDA","46586795000162","32565,4600","Ciranda Cultural","Ciranda Cultural","SIM","SIM","SIM"
"2","14","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","27864,0000","CIRANDA CULTURAL","IMPRESSO/ FISICO","SIM","SIM","SIM"
"2","14","2","EDUARDO J. SANTOS & CIA LTDA","66143678000131","29550,0000","CIRANDA CULTURAL","HORA DE DORMIR – CORUJINHA","SIM","SIM","SIM"
"2","14","3","UNILER DIGITAL LTDA","46586795000162","32565,4600","Ciranda Cultural","Ciranda Cultural","SIM","SIM","SIM"
"2","15","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","27864,0000","CIRANDA CULTURAL","IMPRESSO/ FISICO","SIM","SIM","SIM"
"2","15","2","EDUARDO J. SANTOS & CIA LTDA","66143678000131","29550,0000","CIRANDA CULTURAL","O PEQUENO PINGUIM","SIM","SIM","SIM"
"2","15","3","UNILER DIGITAL LTDA","46586795000162","32565,4600","Ciranda Cultural","Ciranda Cultural","SIM","SIM","SIM"
"2","16","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","27864,0000","CIRANDA CULTURAL","IMPRESSO/ FISICO","SIM","SIM","SIM"
"2","16","2","EDUARDO J. SANTOS & CIA LTDA","66143678000131","29550,0000","CIRANDA CULTURAL","OLÁ, BEBÊ","SIM","SIM","SIM"
"2","16","3","UNILER DIGITAL LTDA","46586795000162","32565,4600","Ciranda Cultural","Ciranda Cultural","SIM","SIM","SIM"
"2","17","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","27864,0000","CIRANDA CULTURAL","IMPRESSO/ FISICO","SIM","SIM","SIM"
"2","17","2","EDUARDO J. SANTOS & CIA LTDA","66143678000131","29550,0000","CIRANDA CULTURAL","OLHA COMO ESTOU CRESCENDO","SIM","SIM","SIM"
"2","17","3","UNILER DIGITAL LTDA","46586795000162","32565,4600","Ciranda Cultural","Ciranda Cultural","SIM","SIM","SIM"
"2","18","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","27864,0000","CIRANDA CULTURAL","IMPRESSO/ FISICO","SIM","SIM","SIM"
"2","18","2","EDUARDO J. SANTOS & CIA LTDA","66143678000131","29550,0000","CIRANDA CULTURAL","OVELHA E SEUS AMIGOS","SIM","SIM","SIM"
"2","18","3","UNILER DIGITAL LTDA","46586795000162","32565,4600","Ciranda Cultural","Ciranda Cultural","SIM","SIM","SIM"
"2","19","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","27864,0000","CIRANDA CULTURAL","IMPRESSO/ FISICO","SIM","SIM","SIM"
"2","19","2","EDUARDO J. SANTOS & CIA LTDA","66143678000131","29550,0000","CIRANDA CULTURAL","TUBARÃO E SEUS AMIGO","SIM","SIM","SIM"
"2","19","3","UNILER DIGITAL LTDA","46586795000162","32565,4600","Ciranda Cultural","Ciranda Cultural","SIM","SIM","SIM"
"2","20","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","27864,0000","CIRANDA CULTURAL","IMPRESSO/ FISICO","SIM","SIM","SIM"
"2","20","2","EDUARDO J. SANTOS & CIA LTDA","66143678000131","29550,0000","CIRANDA CULTURAL","TUBARÃO E SEUS AMIGOS","SIM","SIM","SIM"
"2","20","3","UNILER DIGITAL LTDA","46586795000162","32565,4600","Ciranda Cultural","Ciranda Cultural","SIM","SIM","SIM"
"2","21","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","27864,0000","CIRANDA CULTURAL","IMPRESSO/ FISICO","SIM","SIM","SIM"
"2","21","2","EDUARDO J. SANTOS & CIA LTDA","66143678000131","29550,0000","CIRANDA CULTURAL","VAMOS BRINCAR E APRENDER - CORES","SIM","SIM","SIM"
"2","21","3","UNILER DIGITAL LTDA","46586795000162","32565,4600","Ciranda Cultural","Ciranda Cultural","SIM","SIM","SIM"
"2","22","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","27864,0000","CIRANDA CULTURAL","IMPRESSO/ FISICO","SIM","SIM","SIM"
"2","22","2","EDUARDO J. SANTOS & CIA LTDA","66143678000131","29550,0000","CIRANDA CULTURAL","VAMOS BRINCAR E APRENDER - FORMAS","SIM","SIM","SIM"
"2","22","3","UNILER DIGITAL LTDA","46586795000162","32565,4600","Ciranda Cultural","Ciranda Cultural","SIM","SIM","SIM"
"2","23","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","27864,0000","CIRANDA CULTURAL","IMPRESSO/ FISICO","SIM","SIM","SIM"
"2","23","2","EDUARDO J. SANTOS & CIA LTDA","66143678000131","29550,0000","CIRANDA CULTURAL","VAMOS BRINCAR E APRENDER – NÚMEROS","SIM","SIM","SIM"
"2","23","3","UNILER DIGITAL LTDA","46586795000162","32565,4600","Ciranda Cultural","Ciranda Cultural","SIM","SIM","SIM"
"2","24","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","27864,0000","CIRANDA CULTURAL","IMPRESSO/ FISICO","SIM","SIM","SIM"
"2","24","2","EDUARDO J. SANTOS & CIA LTDA","66143678000131","29550,0000","CIRANDA CULTURAL","VAMOS BRINCAR E APRENDER – PALAVRAS","SIM","SIM","SIM"
"2","24","3","UNILER DIGITAL LTDA","46586795000162","32565,4600","Ciranda Cultural","Ciranda Cultural","SIM","SIM","SIM"
"3","1","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","2397,6000","EUREKA","IMPRESSO/ FISICO","SIM","SIM","SIM"
"3","2","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","2397,6000","EUREKA","IMPRESSO/ FISICO","SIM","SIM","SIM"
"4","1","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","48999,6000","HAPPY BOOKS","IMPRESSO/ FISICO","SIM","SIM","SIM"
"4","1","2","UNILER DIGITAL LTDA","46586795000162","50076,0000","HAPPY BOOKS","HAPPY BOOKS","SIM","SIM","SIM"
"4","2","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","48999,6000","HAPPY BOOKS","IMPRESSO/ FISICO","SIM","SIM","SIM"
"4","2","2","UNILER DIGITAL LTDA","46586795000162","50076,0000","HAPPY BOOKS","HAPPY BOOKS","SIM","SIM","SIM"
"4","3","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","48999,6000","HAPPY BOOKS","IMPRESSO/ FISICO","SIM","SIM","SIM"
"4","3","2","UNILER DIGITAL LTDA","46586795000162","50076,0000","HAPPY BOOKS","HAPPY BOOKS","SIM","SIM","SIM"
"4","4","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","48999,6000","HAPPY BOOKS","IMPRESSO/ FISICO","SIM","SIM","SIM"
"4","4","2","UNILER DIGITAL LTDA","46586795000162","50076,0000","HAPPY BOOKS","HAPPY BOOKS","SIM","SIM","SIM"
"4","5","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","48999,6000","HAPPY BOOKS","IMPRESSO/ FISICO","SIM","SIM","SIM"
"4","5","2","UNILER DIGITAL LTDA","46586795000162","50076,0000","HAPPY BOOKS","HAPPY BOOKS","SIM","SIM","SIM"
"4","6","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","48999,6000","HAPPY BOOKS","IMPRESSO/ FISICO","SIM","SIM","SIM"
"4","6","2","UNILER DIGITAL LTDA","46586795000162","50076,0000","HAPPY BOOKS","HAPPY BOOKS","SIM","SIM","SIM"
"4","7","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","48999,6000","HAPPY BOOKS","IMPRESSO/ FISICO","SIM","SIM","SIM"
"4","7","2","UNILER DIGITAL LTDA","46586795000162","50076,0000","HAPPY BOOKS","HAPPY BOOKS","SIM","SIM","SIM"
"4","8","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","48999,6000","HAPPY BOOKS","IMPRESSO/ FISICO","SIM","SIM","SIM"
"4","8","2","UNILER DIGITAL LTDA","46586795000162","50076,0000","HAPPY BOOKS","HAPPY BOOKS","SIM","SIM","SIM"
"4","9","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","48999,6000","HAPPY BOOKS","IMPRESSO/ FISICO","SIM","SIM","SIM"
"4","9","2","UNILER DIGITAL LTDA","46586795000162","50076,0000","HAPPY BOOKS","HAPPY BOOKS","SIM","SIM","SIM"
"4","10","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","48999,6000","HAPPY BOOKS","IMPRESSO/ FISICO","SIM","SIM","SIM"
"4","10","2","UNILER DIGITAL LTDA","46586795000162","50076,0000","HAPPY BOOKS","HAPPY BOOKS","SIM","SIM","SIM"
"4","11","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","48999,6000","HAPPY BOOKS","IMPRESSO/ FISICO","SIM","SIM","SIM"
"4","11","2","UNILER DIGITAL LTDA","46586795000162","50076,0000","HAPPY BOOKS","HAPPY BOOKS","SIM","SIM","SIM"
"4","12","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","48999,6000","HAPPY BOOKS","IMPRESSO/ FISICO","SIM","SIM","SIM"
"4","12","2","UNILER DIGITAL LTDA","46586795000162","50076,0000","HAPPY BOOKS","HAPPY BOOKS","SIM","SIM","SIM"
"4","13","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","48999,6000","HAPPY BOOKS","IMPRESSO/ FISICO","SIM","SIM","SIM"
"4","13","2","UNILER DIGITAL LTDA","46586795000162","50076,0000","HAPPY BOOKS","HAPPY BOOKS","SIM","SIM","SIM"
"5","1","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","64947,6000","MANDALA","IMPRESSO/ FISICO","SIM","SIM","SIM"
"5","2","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","64947,6000","MANDALA","IMPRESSO/ FISICO","SIM","SIM","SIM"
"5","3","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","64947,6000","MANDALA","IMPRESSO/ FISICO","SIM","SIM","SIM"
"5","4","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","64947,6000","MANDALA","IMPRESSO/ FISICO","SIM","SIM","SIM"
"5","5","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","64947,6000","MANDALA","IMPRESSO/ FISICO","SIM","SIM","SIM"
"5","6","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","64947,6000","MANDALA","IMPRESSO/ FISICO","SIM","SIM","SIM"
"5","7","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","64947,6000","MANDALA","IMPRESSO/ FISICO","SIM","SIM","SIM"
"5","8","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","64947,6000","MANDALA","IMPRESSO/ FISICO","SIM","SIM","SIM"
"5","9","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","64947,6000","MANDALA","IMPRESSO/ FISICO","SIM","SIM","SIM"
"5","10","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","64947,6000","MANDALA","IMPRESSO/ FISICO","SIM","SIM","SIM"
"5","11","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","64947,6000","MANDALA","IMPRESSO/ FISICO","SIM","SIM","SIM"
"5","12","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","64947,6000","MANDALA","IMPRESSO/ FISICO","SIM","SIM","SIM"
"5","13","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","64947,6000","MANDALA","IMPRESSO/ FISICO","SIM","SIM","SIM"
"5","14","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","64947,6000","MANDALA","IMPRESSO/ FISICO","SIM","SIM","SIM"
"5","15","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","64947,6000","MANDALA","IMPRESSO/ FISICO","SIM","SIM","SIM"
"5","16","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","64947,6000","MANDALA","IMPRESSO/ FISICO","SIM","SIM","SIM"
"5","17","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","64947,6000","MANDALA","IMPRESSO/ FISICO","SIM","SIM","SIM"
"5","18","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","64947,6000","MANDALA","IMPRESSO/ FISICO","SIM","SIM","SIM"
"5","19","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","64947,6000","MANDALA","IMPRESSO/ FISICO","SIM","SIM","SIM"
"5","20","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","64947,6000","MANDALA","IMPRESSO/ FISICO","SIM","SIM","SIM"
"5","21","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","64947,6000","MANDALA","IMPRESSO/ FISICO","SIM","SIM","SIM"
"5","22","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","64947,6000","MANDALA","IMPRESSO/ FISICO","SIM","SIM","SIM"
"6","1","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","6796,8000","ON LINE","IMPRESSO/ FISICO","SIM","SIM","SIM"
"6","1","2","UNILER DIGITAL LTDA","46586795000162","7020,0000","ON LINE","ON LINE","SIM","SIM","SIM"
"6","2","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","6796,8000","ON LINE","IMPRESSO/ FISICO","SIM","SIM","SIM"
"6","2","2","UNILER DIGITAL LTDA","46586795000162","7020,0000","ON LINE","ON LINE","SIM","SIM","SIM"
"6","3","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","6796,8000","ON LINE","IMPRESSO/ FISICO","SIM","SIM","SIM"
"6","3","2","UNILER DIGITAL LTDA","46586795000162","7020,0000","ON LINE","ON LINE","SIM","SIM","SIM"
"6","4","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","6796,8000","ON LINE","IMPRESSO/ FISICO","SIM","SIM","SIM"
"6","4","2","UNILER DIGITAL LTDA","46586795000162","7020,0000","ON LINE","ON LINE","SIM","SIM","SIM"
"6","5","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","6796,8000","ON LINE","IMPRESSO/ FISICO","SIM","SIM","SIM"
"6","5","2","UNILER DIGITAL LTDA","46586795000162","7020,0000","ON LINE","ON LINE","SIM","SIM","SIM"
"6","6","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","6796,8000","ON LINE","IMPRESSO/ FISICO","SIM","SIM","SIM"
"6","6","2","UNILER DIGITAL LTDA","46586795000162","7020,0000","ON LINE","ON LINE","SIM","SIM","SIM"
"7","1","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","4399,2000","SÓ LETRINHAS","IMPRESSO/ FISICO","SIM","SIM","SIM"
"8","1","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","47998,8000","TODOLIVRO","IMPRESSO/ FISICO","SIM","SIM","SIM"
"8","1","2","UNILER DIGITAL LTDA","46586795000162","50004,0000","TODOLIVRO","TODOLIVRO","SIM","SIM","SIM"
"8","2","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","47998,8000","TODOLIVRO","IMPRESSO/ FISICO","SIM","SIM","SIM"
"8","2","2","UNILER DIGITAL LTDA","46586795000162","50004,0000","TODOLIVRO","TODOLIVRO","SIM","SIM","SIM"
"8","3","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","47998,8000","TODOLIVRO","IMPRESSO/ FISICO","SIM","SIM","SIM"
"8","3","2","UNILER DIGITAL LTDA","46586795000162","50004,0000","TODOLIVRO","TODOLIVRO","SIM","SIM","SIM"
"8","4","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","47998,8000","TODOLIVRO","IMPRESSO/ FISICO","SIM","SIM","SIM"
"8","4","2","UNILER DIGITAL LTDA","46586795000162","50004,0000","TODOLIVRO","TODOLIVRO","SIM","SIM","SIM"
"8","5","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","47998,8000","TODOLIVRO","IMPRESSO/ FISICO","SIM","SIM","SIM"
"8","5","2","UNILER DIGITAL LTDA","46586795000162","50004,0000","TODOLIVRO","TODOLIVRO","SIM","SIM","SIM"
"8","6","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","47998,8000","TODOLIVRO","IMPRESSO/ FISICO","SIM","SIM","SIM"
"8","6","2","UNILER DIGITAL LTDA","46586795000162","50004,0000","TODOLIVRO","TODOLIVRO","SIM","SIM","SIM"
"8","7","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","47998,8000","TODOLIVRO","IMPRESSO/ FISICO","SIM","SIM","SIM"
"8","7","2","UNILER DIGITAL LTDA","46586795000162","50004,0000","TODOLIVRO","TODOLIVRO","SIM","SIM","SIM"
"8","8","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","47998,8000","TODOLIVRO","IMPRESSO/ FISICO","SIM","SIM","SIM"
"8","8","2","UNILER DIGITAL LTDA","46586795000162","50004,0000","TODOLIVRO","TODOLIVRO","SIM","SIM","SIM"
"8","9","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","47998,8000","TODOLIVRO","IMPRESSO/ FISICO","SIM","SIM","SIM"
"8","9","2","UNILER DIGITAL LTDA","46586795000162","50004,0000","TODOLIVRO","TODOLIVRO","SIM","SIM","SIM"
"8","10","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","47998,8000","TODOLIVRO","IMPRESSO/ FISICO","SIM","SIM","SIM"
"8","10","2","UNILER DIGITAL LTDA","46586795000162","50004,0000","TODOLIVRO","TODOLIVRO","SIM","SIM","SIM"
"9","1","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","47768,4000","VALE DAS LETRAS","IMPRESSO/ FISICO","SIM","SIM","SIM"
"9","2","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","47768,4000","VALE DAS LETRAS","IMPRESSO/ FISICO","SIM","SIM","SIM"
"9","3","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","47768,4000","VALE DAS LETRAS","IMPRESSO/ FISICO","SIM","SIM","SIM"
"9","4","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","47768,4000","VALE DAS LETRAS","IMPRESSO/ FISICO","SIM","SIM","SIM"
"9","5","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","47768,4000","VALE DAS LETRAS","IMPRESSO/ FISICO","SIM","SIM","SIM"
"9","6","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","47768,4000","VALE DAS LETRAS","IMPRESSO/ FISICO","SIM","SIM","SIM"
"9","7","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","47768,4000","VALE DAS LETRAS","IMPRESSO/ FISICO","SIM","SIM","SIM"
